country,postal_code,timezone
US,00501,America/New_York
US,00544,America/New_York
US,00601,America/Puerto_Rico
US,00602,America/Puerto_Rico
US,00603,America/Puerto_Rico
US,00604,America/Puerto_Rico
US,00605,America/Puerto_Rico
US,00606,America/Puerto_Rico
US,00610,America/Puerto_Rico
US,00611,America/Puerto_Rico
US,00612,America/Puerto_Rico
US,00613,America/Puerto_Rico
US,00614,America/Puerto_Rico
US,00616,America/Puerto_Rico
US,00617,America/Puerto_Rico
US,00622,America/Puerto_Rico
US,00623,America/Puerto_Rico
US,00624,America/Puerto_Rico
US,00627,America/Puerto_Rico
US,00631,America/Puerto_Rico
US,00636,America/Puerto_Rico
US,00637,America/Puerto_Rico
US,00638,America/Puerto_Rico
US,00641,America/Puerto_Rico
US,00646,America/Puerto_Rico
US,00647,America/Puerto_Rico
US,00650,America/Puerto_Rico
US,00652,America/Puerto_Rico
US,00653,America/Puerto_Rico
US,00656,America/Puerto_Rico
US,00659,America/Puerto_Rico
US,00660,America/Puerto_Rico
US,00662,America/Puerto_Rico
US,00664,America/Puerto_Rico
US,00667,America/Puerto_Rico
US,00669,America/Puerto_Rico
US,00670,America/Puerto_Rico
US,00674,America/Puerto_Rico
US,00676,America/Puerto_Rico
US,00677,America/Puerto_Rico
US,00678,America/Puerto_Rico
US,00680,America/Puerto_Rico
US,00681,America/Puerto_Rico
US,00682,America/Puerto_Rico
US,00683,America/Puerto_Rico
US,00685,America/Puerto_Rico
US,00687,America/Puerto_Rico
US,00688,America/Puerto_Rico
US,00690,America/Puerto_Rico
US,00692,America/Puerto_Rico
US,00693,America/Puerto_Rico
US,00694,America/Puerto_Rico
US,00698,America/Puerto_Rico
US,00703,America/Puerto_Rico
US,00704,America/Puerto_Rico
US,00705,America/Puerto_Rico
US,00707,America/Puerto_Rico
US,00714,America/Puerto_Rico
US,00715,America/Puerto_Rico
US,00716,America/Puerto_Rico
US,00717,America/Puerto_Rico
US,00718,America/Puerto_Rico
US,00719,America/Puerto_Rico
US,00720,America/Puerto_Rico
US,00721,America/Puerto_Rico
US,00723,America/Puerto_Rico
US,00725,America/Puerto_Rico
US,00726,America/Puerto_Rico
US,00727,America/Puerto_Rico
US,00728,America/Puerto_Rico
US,00729,America/Puerto_Rico
US,00730,America/Puerto_Rico
US,00731,America/Puerto_Rico
US,00732,America/Puerto_Rico
US,00733,America/Puerto_Rico
US,00734,America/Puerto_Rico
US,00735,America/Puerto_Rico
US,00736,America/Puerto_Rico
US,00737,America/Puerto_Rico
US,00738,America/Puerto_Rico
US,00739,America/Puerto_Rico
US,00740,America/Puerto_Rico
US,00741,America/Puerto_Rico
US,00742,America/Puerto_Rico
US,00744,America/Puerto_Rico
US,00745,America/Puerto_Rico
US,00751,America/Puerto_Rico
US,00754,America/Puerto_Rico
US,00757,America/Puerto_Rico
US,00765,America/Puerto_Rico
US,00766,America/Puerto_Rico
US,00767,America/Puerto_Rico
US,00769,America/Puerto_Rico
US,00771,America/Puerto_Rico
US,00772,America/Puerto_Rico
US,00773,America/Puerto_Rico
US,00775,America/Puerto_Rico
US,00777,America/Puerto_Rico
US,00778,America/Puerto_Rico
US,00780,America/Puerto_Rico
US,00782,America/Puerto_Rico
US,00783,America/Puerto_Rico
US,00784,America/Puerto_Rico
US,00785,America/Puerto_Rico
US,00786,America/Puerto_Rico
US,00791,America/Puerto_Rico
US,00792,America/Puerto_Rico
US,00794,America/Puerto_Rico
US,00795,America/Puerto_Rico
US,00801,America/St_Thomas
US,00802,America/St_Thomas
US,00803,America/St_Thomas
US,00804,America/St_Thomas
US,00805,America/St_Thomas
US,00820,America/St_Thomas
US,00821,America/St_Thomas
US,00822,America/St_Thomas
US,00823,America/St_Thomas
US,00824,America/St_Thomas
US,00830,America/St_Thomas
US,00831,America/St_Thomas
US,00840,America/St_Thomas
US,00841,America/St_Thomas
US,00850,America/St_Thomas
US,00851,America/St_Thomas
US,00901,America/Puerto_Rico
US,00902,America/Puerto_Rico
US,00906,America/Puerto_Rico
US,00907,America/Puerto_Rico
US,00908,America/Puerto_Rico
US,00909,America/Puerto_Rico
US,00910,America/Puerto_Rico
US,00911,America/Puerto_Rico
US,00912,America/Puerto_Rico
US,00913,America/Puerto_Rico
US,00914,America/Puerto_Rico
US,00915,America/Puerto_Rico
US,00916,America/Puerto_Rico
US,00917,America/Puerto_Rico
US,00918,America/Puerto_Rico
US,00919,America/Puerto_Rico
US,00920,America/Puerto_Rico
US,00921,America/Puerto_Rico
US,00922,America/Puerto_Rico
US,00923,America/Puerto_Rico
US,00924,America/Puerto_Rico
US,00925,America/Puerto_Rico
US,00926,America/Puerto_Rico
US,00927,America/Puerto_Rico
US,00928,America/Puerto_Rico
US,00929,America/Puerto_Rico
US,00930,America/Puerto_Rico
US,00931,America/Puerto_Rico
US,00933,America/Puerto_Rico
US,00934,America/Puerto_Rico
US,00935,America/Puerto_Rico
US,00936,America/Puerto_Rico
US,00937,America/Puerto_Rico
US,00938,America/Puerto_Rico
US,00939,America/Puerto_Rico
US,00940,America/Puerto_Rico
US,00949,America/Puerto_Rico
US,00950,America/Puerto_Rico
US,00951,America/Puerto_Rico
US,00952,America/Puerto_Rico
US,00953,America/Puerto_Rico
US,00954,America/Puerto_Rico
US,00955,America/Puerto_Rico
US,00956,America/Puerto_Rico
US,00957,America/Puerto_Rico
US,00958,America/Puerto_Rico
US,00959,America/Puerto_Rico
US,00960,America/Puerto_Rico
US,00961,America/Puerto_Rico
US,00962,America/Puerto_Rico
US,00963,America/Puerto_Rico
US,00965,America/Puerto_Rico
US,00966,America/Puerto_Rico
US,00968,America/Puerto_Rico
US,00969,America/Puerto_Rico
US,00970,America/Puerto_Rico
US,00971,America/Puerto_Rico
US,00975,America/Puerto_Rico
US,00976,America/Puerto_Rico
US,00977,America/Puerto_Rico
US,00978,America/Puerto_Rico
US,00979,America/Puerto_Rico
US,00981,America/Puerto_Rico
US,00982,America/Puerto_Rico
US,00983,America/Puerto_Rico
US,00984,America/Puerto_Rico
US,00985,America/Puerto_Rico
US,00986,America/Puerto_Rico
US,00987,America/Puerto_Rico
US,00988,America/Puerto_Rico
US,01001,America/New_York
US,01002,America/New_York
US,01003,America/New_York
US,01004,America/New_York
US,01005,America/New_York
US,01007,America/New_York
US,01008,America/New_York
US,01009,America/New_York
US,01010,America/New_York
US,01011,America/New_York
